Redshift Database,Redshift Schema,Databricks Catalog,Databricks Schema
prod,archive,archive,*
prod,prod_reference,reference,*
prod,prod_algolia_target,reference,algolia_target
prod,census,metadata,census
prod,looker_scratch,metadata,looker_scratch
prod,looker_tmp,metadata,looker_tmp
prod,prod_data_quality,metadata,data_quality
prod,prod_dbt_test__audit,metadata,dbt_test__audit
prod,prod_elementary,metadata,elementary
prod,raw_adroll,source,adroll
prod,raw_analytics_api_external,source,analytics_api
prod,raw_bamboohr,source,bamboohr
prod,raw_bing_ads,source,bing_ads
prod,raw_connectivity_api__eu,source,connectivity_api__eu
prod,raw_connectivity_api__us,source,connectivity_api__us
prod,raw_connectivity_api_observability__eu,source,connectivity_api_observability__eu
prod,raw_connectivity_api_observability__us,source,connectivity_api_observability__us
prod,raw_crossbeam,source,crossbeam
prod,raw_dashboard,source,dashboard
prod,raw_demandbase,source,demandbase
prod,raw_einstein,source,einstein
prod,raw_ethical_ads,source,ethical_ads
prod,raw_ethical_ads_v2,source,ethical_ads_v2
prod,raw_events_external,source,events
prod,raw_facebook,source,facebook
prod,raw_facebook_ads,source,facebook_ads
prod,raw_feature_personalization_ai,source,feature_personalization_ai
prod,raw_feature_personalization_classic,source,feature_personalization_classic
prod,raw_feature_query_categorization,source,feature_query_categorization
prod,raw_feature_query_categorization_archive_external,source,feature_query_categorization_archive
prod,raw_feature_query_categorization_external,source,feature_query_categorization
prod,raw_gainsight,source,gainsight
prod,raw_galileo,source,galileo
prod,raw_github,source,github
prod,raw_github_external,source,github
prod,raw_google_ads,source,google_ads
prod,raw_google_analytics,source,google_analytics
prod,raw_google_analytics_4,source,google_analytics_4
prod,raw_google_sheets,source,google_sheets
prod,raw_helpscout,source,helpscout
prod,raw_infrastructure,source,infrastructure
prod,raw_infrastructure_costs,source,infrastructure_costs
prod,raw_jira,source,jira
prod,raw_linkedin_ads,source,linkedin_ads
prod,raw_marketo,archive,marketo
prod,raw_marketo_v2,source,marketo_v2
prod,raw_npm,source,npm
prod,raw_pigment,source,pigment
prod,raw_product,source,product
prod,raw_product_external,source,product
prod,product,source,product
prod,raw_realm_b2b,source,realm_b2b
prod,raw_redshift_monitoring,source,redshift_monitoring
prod,raw_redshift_monitoring_external,source,redshift_monitoring
prod,raw_revenue,source,revenue
prod,revenue,source,revenue
prod,raw_salesforce,source,salesforce
prod,raw_shopify,source,shopify
prod,shopify,source,shopify
prod,raw_stripe_eu,source,stripe_eu
prod,raw_stripe_eu_backup,source,stripe_eu_backup
prod,raw_stripe_us,source,stripe_us
prod,raw_stripe_us_backup,source,stripe_us_backup
prod,raw_telemetry,source,telemetry
prod,raw_toggl,source,toggl
prod,raw_twitter_ads,source,twitter_ads
prod,raw_usage_api_external,source,usage_api
prod,raw_usages_rest_api,source,usages_rest_api
prod,usages,source,usages
prod,raw_rolling_month_per_application,source,usages
prod,raw_zendesk,source,zendesk
prod,raw_zendesk_test_stitch,source,zendesk_test_stitch
prod,raw_zuora,source,zuora
prod,segment_recommend_worker_back_end,source,segment_recommend_worker_back_end
prod,segment_algolia,source,segment_algolia
prod,segment_algolia_blog,source,segment_algolia_blog
prod,segment_algolia_community,source,segment_algolia_community
prod,segment_algolia_dashboard_backend,source,segment_algolia_dashboard_backend
prod,segment_algolia_dashboard_frontend,source,segment_algolia_dashboard_frontend
prod,segment_algolia_documentation,source,segment_algolia_documentation
prod,segment_cli_dev,source,segment_cli_dev
prod,segment_collections_dev,source,segment_collections_dev
prod,segment_collections_prod,source,segment_collections_prod
prod,segment_crawler,source,segment_crawler
prod,segment_design_system_a11y,source,segment_design_system_a11y
prod,segment_design_system_static_usage,source,segment_design_system_static_usage
prod,segment_magento,source,segment_magento
prod,segment_new_world_docs,source,segment_new_world_docs
prod,segment_partners_algolia,source,segment_partners_algolia
prod,segment_recommend_doc_prod,source,segment_recommend_doc_prod
prod,segment_search_grader,source,segment_search_grader
prod,segment_shopify,source,segment_shopify
prod,segment_shopify_admin,source,segment_shopify_admin
prod,segment_static,source,segment_static
prod,segment_support_prod,source,segment_support_prod
prod,segment_bigcommerce_integration_prod,source,segment_bigcommerce_integration_prod
prod,segment_prod_events_records_connections,source,segment_prod_events_records_connections
prod,segment_events_records_connections_staging,source,segment_events_records_connections_staging
prod,events,source,tracked_features_events
prod,prod_analytics_api,data_engineering_staging,analytics_api
prod,prod_analytics_api_external,data_engineering_staging,analytics_api
prod,prod_application,data_engineering_staging,application
prod,prod_application_intermediate_feature_logs_stats_external,data_engineering_staging,application
prod,prod_application_intermediate_insights_logs_stats_external,data_engineering_staging,application
prod,prod_product,data_engineering_staging,product
prod,prod_product_daily_recommend_operations_per_user_agent_external,data_engineering_staging,product
prod,prod_product_external,data_engineering_staging,product
prod,prod_product_indices_replicas_and_primaries_external,data_engineering_staging,product
prod,prod_product_insights_daily_user_tokens_per_application_external,data_engineering_staging,product
prod,prod_product_intermediate_feature_logs_stats_by_cluster_external,data_engineering_staging,product
prod,prod_product_intermediate_feature_logs_stats_by_index_external,data_engineering_staging,product
prod,prod_dashboard,source,dashboard
prod,prod_salesforce,data_engineering_staging,salesforce
prod,prod_usage_quotas,data_engineering_staging,usages
prod,prod_usages,data_engineering_staging,usages
prod,prod_usages_daily_per_application_per_index_external,data_engineering_staging,usages
prod,prod_usages_intermediate_bigtable_daily_per_application_external,data_engineering_staging,usages
prod,prod_usages_intermediate_bigtable_daily_per_application_per_index_external,data_engineering_staging,usages
prod,prod_usages_intermediate_bigtable_daily_per_application_per_index_rowkeys_external,data_engineering_staging,usages
prod,prod_usages_intermediate_bigtable_daily_per_application_rowkeys_external,data_engineering_staging,usages
prod,prod_usages_intermediate_daily_per_application_merged_with_legacy_external,data_engineering_staging,usages
prod,prod_usages_intermediate_daily_per_application_per_index_external,data_engineering_staging,usages
prod,prod_usages_intermediate_daily_per_application_per_index_max_rowkeys_external,data_engineering_staging,usages
prod,prod_usages_intermediate_indices_settings_metrics_per_application_external,data_engineering_staging,usages
prod,prod_user,data_engineering_staging,user
prod,prod_common,standardized,common
prod,prod_dimensional,analytics,dimensional
prod,prod_helpscout,staging,helpscout
prod,prod_infrastructure,staging,infrastructure
prod,prod_staging_bamboohr,staging,bamboohr
prod,prod_staging_bing_ads,staging,bing_ads
prod,prod_staging_dashboard,staging,dashboard
prod,prod_staging_demandbase,staging,demandbase
prod,prod_staging_ethical_ads,staging,ethical_ads
prod,prod_staging_facebook_ads,staging,facebook_ads
prod,prod_staging_gainsight,staging,gainsight
prod,prod_staging_google_ads,staging,google_ads
prod,prod_staging_google_analytics,staging,google_analytics
prod,prod_staging_infrastructure,staging,infrastructure
prod,prod_staging_jira,staging,jira
prod,prod_staging_linkedin_ads,staging,linkedin_ads
prod,prod_staging_pigment,staging,pigment
prod,prod_staging_product,staging,product
prod,prod_staging_realm_b2b,staging,realm_b2b
prod,prod_staging_revenue,staging,revenue
prod,prod_staging_rollworks,staging,rollworks
prod,prod_staging_salesforce,staging,salesforce
prod,prod_staging_search,staging,search
prod,prod_staging_segment,staging,segment
prod,prod_staging_toggl,staging,toggl
prod,prod_staging_twitter_ads,staging,twitter_ads
prod,prod_staging_usage,staging,usage
prod,prod_staging_zendesk,staging,zendesk
prod,prod_mart_algolia,mart,algolia
prod,prod_analytics,mart,algolia
prod,prod_analytics_daily_aggregations_external,mart,algolia
prod,prod_analytics_intermediate_query_categorization_metadata_logs_external,mart,algolia
prod,prod_analytics_intermediate_search_aggregates_conversions_stats_external,mart,algolia
prod,prod_analytics_intermediate_search_aggregates_logs_stats_external,mart,algolia
prod,prod_analytics_intermediate_search_aggregates_searches_stats_external,mart,algolia
prod,prod_analytics_intermediate_search_slg_search_aggregate_external,mart,algolia
prod,prod_mart_customer_success,mart,customer_success
prod,prod_mart_customer_support,mart,customer_support
prod,prod_mart_finance,mart,finance
prod,prod_mart_growth,mart,growth
prod,prod_mart_marketing,mart,marketing
prod,prod_mart_professional_services,mart,professional_services
prod,prod_mart_sales,mart,sales
prod,prod_reverse_etl_amplitude,reverse_etl,amplitude
prod,prod_reverse_etl_endgame,reverse_etl,endgame
prod,prod_reverse_etl_gainsight,reverse_etl,gainsight
prod,prod_reverse_etl_headsup,reverse_etl,headsup
prod,prod_reverse_etl_marketo,reverse_etl,marketo
prod,prod_reverse_etl_salesforce,reverse_etl,salesforce
prod,prod_reverse_etl_zendesk,reverse_etl,zendesk